Experimental;Computed
1.502;1.469
1.478;1.551
1.518;1.515
1.513;1.46
1.477;1.46
1.466;1.465
1.362;1.367
1.46;1.478
1.614;1.84
1.367;1.362
1.362;1.364
1.346;1.3372
1.364;1.365
1.731;1.693
1.3374;1.337
1.348;1.346
1.366;1.359
1.709;2.017
1.337;1.348
1.461;1.469
1.465;1.466
1.499;1.477
1.549;1.709
1.467;1.466
1.365;1.364
1.469;1.512
1.368;1.365
1.693;1.839
1.364;1.502
1.462;1.466
1.469;1.3372
1.515;1.518
1.472;1.461
1.512;1.502
1.839;1.84
2.017;1.478
1.53;1.368
1.359;1.367
1.551;1.839
1.84;1.614
