Experimental;Computed
1.1;1.1
0.791;0.86
1.2;1.1
0.813;0.947
1.4;1.1
1.1;1.1
1.01;0.854
1.1;1.1
1.3;1.1
1.1;1.1
0.99;0.854
1.7;1.2
0.797;0.947
0.86;0.86
1.1;1.1
1.01;0.947
1.3;1.2
1.1;1.1
1.6;1.2
0.96;1.1
1.1;1.2
0.786;0.947
2.2;1.2
0.86;0.82
0.81;0.86
1.6;1.1
1.8;1.2
1.5;1.2
