Count 21
density 0
Generation 0
freezing_point 18
viscosity 17
solution 4
solubility 17
volume 17
boiling_point 8
transition_temp 17
pH 20
refractive_index 1
C142H344N58O28 C622H1496N250O124 1.0
C142H344N58O28 C1262H3032N506O252 1.0
C142H344N58O28 C5102H12248N2042O1020 1.0
  -1
C142H344N58O28 C46H80N10O20-------- 1.0
C142H344N58O28 C110H200N26O44---------------- 1.0
C142H344N58O28 C238H440N58O92-------------------------------- 1.0
C142H344N58O28 C494H920N122O188---------------------------------------------------------------- 1.0
C142H344N58O28 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C142H344N58O28 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C142H344N58O28 C122H308N62O60 1.0
C142H344N58O28 C250H628N126O124 1.0
C142H344N58O28 C506H1268N254O252 1.0
C142H344N58O28 C16H40N6 1.0
C142H344N58O28 C40H96N14 1.0
C142H344N58O28 C88H208N30 1.0
C142H344N58O28 C376H880N126 1.0
C142H344N58O28 C22H56N10O4 1.0
C142H344N58O28 C62H152N26O12 1.0
C142H344N58O28 C142H344N58O28 1.0
C142H344N58O28 C622H1496N250O124 1.0
C142H344N58O28 C1262H3032N506O252 1.0
C142H344N58O28 C5102H12248N2042O1020 1.0
  -1
C142H344N58O28 C46H80N10O20-------- 1.0
C142H344N58O28 C110H200N26O44---------------- 1.0
C142H344N58O28 C238H440N58O92-------------------------------- 1.0
C142H344N58O28 C494H920N122O188---------------------------------------------------------------- 1.0
C142H344N58O28 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C142H344N58O28 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C142H344N58O28 C122H308N62O60 1.0
C142H344N58O28 C250H628N126O124 1.0
C142H344N58O28 C506H1268N254O252 1.0
C622H1496N250O124 C16H40N6 1.0
C622H1496N250O124 C40H96N14 1.0
C622H1496N250O124 C88H208N30 1.0
C622H1496N250O124 C376H880N126 1.0
C622H1496N250O124 C22H56N10O4 1.0
C622H1496N250O124 C62H152N26O12 1.0
C622H1496N250O124 C142H344N58O28 1.0
C622H1496N250O124 C142H344N58O28 1.0
C622H1496N250O124 C1262H3032N506O252 1.0
C622H1496N250O124 C5102H12248N2042O1020 1.0
  -1
C622H1496N250O124 C46H80N10O20-------- 1.0
C622H1496N250O124 C110H200N26O44---------------- 1.0
C622H1496N250O124 C238H440N58O92-------------------------------- 1.0
C622H1496N250O124 C494H920N122O188---------------------------------------------------------------- 1.0
C622H1496N250O124 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C622H1496N250O124 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C622H1496N250O124 C122H308N62O60 1.0
C622H1496N250O124 C250H628N126O124 1.0
C622H1496N250O124 C506H1268N254O252 1.0
C1262H3032N506O252 C16H40N6 1.0
C1262H3032N506O252 C40H96N14 1.0
C1262H3032N506O252 C88H208N30 1.0
C1262H3032N506O252 C376H880N126 1.0
C1262H3032N506O252 C22H56N10O4 1.0
C1262H3032N506O252 C62H152N26O12 1.0
C1262H3032N506O252 C142H344N58O28 1.0
C1262H3032N506O252 C142H344N58O28 1.0
C1262H3032N506O252 C622H1496N250O124 1.0
C1262H3032N506O252 C5102H12248N2042O1020 1.0
  -1
C1262H3032N506O252 C46H80N10O20-------- 1.0
C1262H3032N506O252 C110H200N26O44---------------- 1.0
C1262H3032N506O252 C238H440N58O92-------------------------------- 1.0
C1262H3032N506O252 C494H920N122O188---------------------------------------------------------------- 1.0
C1262H3032N506O252 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C1262H3032N506O252 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C1262H3032N506O252 C122H308N62O60 1.0
C1262H3032N506O252 C250H628N126O124 1.0
C1262H3032N506O252 C506H1268N254O252 1.0
C5102H12248N2042O1020 C16H40N6 1.0
C5102H12248N2042O1020 C40H96N14 1.0
C5102H12248N2042O1020 C88H208N30 1.0
C5102H12248N2042O1020 C376H880N126 1.0
C5102H12248N2042O1020 C22H56N10O4 1.0
C5102H12248N2042O1020 C62H152N26O12 1.0
C5102H12248N2042O1020 C142H344N58O28 1.0
C5102H12248N2042O1020 C142H344N58O28 1.0
C5102H12248N2042O1020 C622H1496N250O124 1.0
C5102H12248N2042O1020 C1262H3032N506O252 1.0
  -1
C5102H12248N2042O1020 C46H80N10O20-------- 1.0
C5102H12248N2042O1020 C110H200N26O44---------------- 1.0
C5102H12248N2042O1020 C238H440N58O92-------------------------------- 1.0
C5102H12248N2042O1020 C494H920N122O188---------------------------------------------------------------- 1.0
C5102H12248N2042O1020 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C5102H12248N2042O1020 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C5102H12248N2042O1020 C122H308N62O60 1.0
C5102H12248N2042O1020 C250H628N126O124 1.0
C5102H12248N2042O1020 C506H1268N254O252 1.0
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
  -1
C46H80N10O20-------- C16H40N6 1.0
C46H80N10O20-------- C40H96N14 1.0
C46H80N10O20-------- C88H208N30 1.0
C46H80N10O20-------- C376H880N126 1.0
C46H80N10O20-------- C22H56N10O4 1.0
C46H80N10O20-------- C62H152N26O12 1.0
C46H80N10O20-------- C142H344N58O28 1.0
C46H80N10O20-------- C142H344N58O28 1.0
C46H80N10O20-------- C622H1496N250O124 1.0
C46H80N10O20-------- C1262H3032N506O252 1.0
C46H80N10O20-------- C5102H12248N2042O1020 1.0
  -1
C46H80N10O20-------- C110H200N26O44---------------- 1.0
C46H80N10O20-------- C238H440N58O92-------------------------------- 1.0
C46H80N10O20-------- C494H920N122O188---------------------------------------------------------------- 1.0
C46H80N10O20-------- C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C46H80N10O20-------- C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C46H80N10O20-------- C122H308N62O60 1.0
C46H80N10O20-------- C250H628N126O124 1.0
C46H80N10O20-------- C506H1268N254O252 1.0
C110H200N26O44---------------- C16H40N6 1.0
C110H200N26O44---------------- C40H96N14 1.0
C110H200N26O44---------------- C88H208N30 1.0
C110H200N26O44---------------- C376H880N126 1.0
C110H200N26O44---------------- C22H56N10O4 1.0
C110H200N26O44---------------- C62H152N26O12 1.0
C110H200N26O44---------------- C142H344N58O28 1.0
C110H200N26O44---------------- C142H344N58O28 1.0
C110H200N26O44---------------- C622H1496N250O124 1.0
C110H200N26O44---------------- C1262H3032N506O252 1.0
C110H200N26O44---------------- C5102H12248N2042O1020 1.0
  -1
C110H200N26O44---------------- C46H80N10O20-------- 1.0
C110H200N26O44---------------- C238H440N58O92-------------------------------- 1.0
C110H200N26O44---------------- C494H920N122O188---------------------------------------------------------------- 1.0
C110H200N26O44---------------- C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C110H200N26O44---------------- C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C110H200N26O44---------------- C122H308N62O60 1.0
C110H200N26O44---------------- C250H628N126O124 1.0
C110H200N26O44---------------- C506H1268N254O252 1.0
C238H440N58O92-------------------------------- C16H40N6 1.0
C238H440N58O92-------------------------------- C40H96N14 1.0
C238H440N58O92-------------------------------- C88H208N30 1.0
C238H440N58O92-------------------------------- C376H880N126 1.0
C238H440N58O92-------------------------------- C22H56N10O4 1.0
C238H440N58O92-------------------------------- C62H152N26O12 1.0
C238H440N58O92-------------------------------- C142H344N58O28 1.0
C238H440N58O92-------------------------------- C142H344N58O28 1.0
C238H440N58O92-------------------------------- C622H1496N250O124 1.0
C238H440N58O92-------------------------------- C1262H3032N506O252 1.0
C238H440N58O92-------------------------------- C5102H12248N2042O1020 1.0
  -1
C238H440N58O92-------------------------------- C46H80N10O20-------- 1.0
C238H440N58O92-------------------------------- C110H200N26O44---------------- 1.0
C238H440N58O92-------------------------------- C494H920N122O188---------------------------------------------------------------- 1.0
C238H440N58O92-------------------------------- C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C238H440N58O92-------------------------------- C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C238H440N58O92-------------------------------- C122H308N62O60 1.0
C238H440N58O92-------------------------------- C250H628N126O124 1.0
C238H440N58O92-------------------------------- C506H1268N254O252 1.0
C494H920N122O188---------------------------------------------------------------- C16H40N6 1.0
C494H920N122O188---------------------------------------------------------------- C40H96N14 1.0
C494H920N122O188---------------------------------------------------------------- C88H208N30 1.0
C494H920N122O188---------------------------------------------------------------- C376H880N126 1.0
C494H920N122O188---------------------------------------------------------------- C22H56N10O4 1.0
C494H920N122O188---------------------------------------------------------------- C62H152N26O12 1.0
C494H920N122O188---------------------------------------------------------------- C142H344N58O28 1.0
C494H920N122O188---------------------------------------------------------------- C142H344N58O28 1.0
C494H920N122O188---------------------------------------------------------------- C622H1496N250O124 1.0
C494H920N122O188---------------------------------------------------------------- C1262H3032N506O252 1.0
C494H920N122O188---------------------------------------------------------------- C5102H12248N2042O1020 1.0
  -1
C494H920N122O188---------------------------------------------------------------- C46H80N10O20-------- 1.0
C494H920N122O188---------------------------------------------------------------- C110H200N26O44---------------- 1.0
C494H920N122O188---------------------------------------------------------------- C238H440N58O92-------------------------------- 1.0
C494H920N122O188---------------------------------------------------------------- C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C494H920N122O188---------------------------------------------------------------- C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C494H920N122O188---------------------------------------------------------------- C122H308N62O60 1.0
C494H920N122O188---------------------------------------------------------------- C250H628N126O124 1.0
C494H920N122O188---------------------------------------------------------------- C506H1268N254O252 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C16H40N6 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C40H96N14 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C88H208N30 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C376H880N126 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C22H56N10O4 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C62H152N26O12 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C142H344N58O28 1.0
