Experimental;Computed
1.515;1.46851479585
1.368;1.47111986147
1.839;1.4515308606
1.693;1.46995149193
1.472;1.47770736515
2.017;1.47558417145
1.502;1.46882026545
1.469;1.46978089236
1.365;1.469074089
1.518;1.46586399611
1.512;1.4660207482
1.709;1.87250844467
1.337;1.48140796057
1.84;1.55531669646
1.359;1.46900790504
1.467;1.47864357361
1.46;1.3923527715
1.549;1.61191009849
1.462;1.4779758443
1.346;1.46941926904
1.513;1.51639303671
1.53;1.40418539514
1.731;1.46850005756
1.465;1.47868806383
1.364;1.48131645182
1.477;1.39690796749
1.367;1.470431133
1.5797;1.52897429032
1.362;1.47058201337
1.4501;1.46881388508
1.478;1.47663155873
1.461;1.4658949487
1.362;1.48143204099
1.433;1.46899015218
1.551;1.46333996172
1.614;1.46408966228
1.348;1.47069008814
1.5735;1.46288583159
1.466;1.47861778617
1.499;1.43271388795
1.366;1.48069039212
1.364;1.46911356617
1.3;1.47009907186
1.421;1.52474961509
1.3374;1.4695776999
