Experimental;Computed
0.96;0.955099526727
1.4;0.953787682861
1.01;0.965292264691
1.1;1.45049015601
1.1;0.970714702918
1.1;0.955292018121
0.86;0.965223282168
1.1;0.972337575953
1.2;1.31529111226
0.947;0.961856369501
0.82;0.969367826956
0.81;0.967066359768
0.86;0.965261482798
1.6;2.09402709326
0.786;0.967901538397
0.813;0.96690937688
0.86;0.96527505709
1.5;1.25438921705
0.791;0.96767817622
1.1;0.955270138065
1.1;0.955272669066
1.1;1.05254223445
1.3;1.04798309307
1.1;0.955330821687
0.86;0.967897154495
1.1;0.955281836968
0.86;0.9652192872
1.6;1.65106782367
0.854;0.965476981481
1.1;0.955268678762
0.797;0.970165227551
1.01;0.959278716189
1.2;0.950564665953
0.99;0.960127781769
1.8;1.17112051213
2.2;1.18418950246
1.3;1.27759488289
0.947;0.961905880848
1.1;1.12905124696
1.7;1.40927711182
