Core;Branch;Terminal_Branch;Generation;volume;pH;viscosity;transition_temp;density;boiling_point;refractive_index;freezing_point;solubility;solution;fr_C_O_noCOO;Chi4v;fr_SH;Chi4n;SMR_VSA10;fr_Al_COO;fr_COO2;MolWt;TPSA;EState_VSA8;PEOE_VSA11;PEOE_VSA10;BalabanJ;EState_VSA10;EState_VSA11;HeavyAtomMolWt;Chi0;Chi1;MolLogP;fr_Al_OH;fr_C_O;NumValenceElectrons;HallKierAlpha;fr_NH2;EState_VSA9;fr_COO;NHOHCount;SlogP_VSA5;SlogP_VSA1;SlogP_VSA2;SlogP_VSA3;NumHeteroatoms;fr_NH1;fr_NH0;BertzCT;LabuteASA;Chi3n;SMR_VSA3;SMR_VSA1;Kappa1;SMR_VSA6;Kappa3;Kappa2;EState_VSA6;Chi3v;EState_VSA2;EState_VSA3;EState_VSA1;SMR_VSA5;Ipc;SMR_VSA4;EState_VSA7;EState_VSA4;NumHDonors;EState_VSA5;Chi2n;Chi2v;HeavyAtomCount;NumHAcceptors;VSA_EState9;NOCount;Chi1n;PEOE_VSA8;PEOE_VSA7;PEOE_VSA4;PEOE_VSA3;PEOE_VSA2;PEOE_VSA1;fr_imide;Chi1v;fr_Al_OH_noTert;Chi0n;MolMR;PEOE_VSA9;MolecularFormula;Chi0v;NumRotatableBonds
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;7;219.48;12;0.69;93.5;0.8;65;1.341;52;;5;0;912.125280141;0;912.125280141;0;0;0;118547.38;47879.84;5423.12437609;0;6352.45919415;95.4905765466;2614.54202616;2594.11591658;106201.396;6023.00470947;3938.8823435;-1094.0772;1020;0;48986;-122.48;512;2935.63774831;0;2552;6549.23805538;8358.76212439;34100.1152145;0;3062;1020;510;;48698.8260398;1412.77410134;7922.07833882;5208.65794274;8041.52;20040.0441149;5114.33049476;5674.97650127;2195.15955942;1412.77410134;6701.83055965;0;26239.9108048;12901.6972495;nan;2935.63774831;0;29.3994583851;2552;274.394944928;2115.80746691;2115.80746691;8164;3062;19221;3062;3048.20082623;20040.0441149;6549.23805538;0;0;5423.12437609;10643.2496538;0;3048.20082623;1020;4965.14729432;32019.2828;0;C5102H12248N2042O1020;4965.14729432;6631
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);;10;219.48;12;0.69;93.5;0.82;64.7;1.362;52;;20;0;nan;0;nan;0;0;0;951210.932;383987.36;nan;0;50994.054786;nan;nan;nan;852160.820001;48325.3818415;31605.732888;;8188;0;393050;-982.64;4096;nan;0;20472;52573.6874485;67018.9670761;273645.017401;0;24566;8188;4094;nan;390746.24322;nan;63594.0955277;41812.246309;64525.36;160778.485868;nan;nan;nan;nan;nan;nan;nan;103567.742234;nan;23485.1019865;nan;nan;20472;nan;nan;nan;65508;24566;nan;24566;24460.0310958;160778.485868;52573.6874485;0;0;43533.8650896;85357.5787335;0;24460.0310958;8188;39839.4235976;;0;C40942H98264N16378O8188;39839.4235976;53223
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);CCC(=O)[O-];0.5;219.48;12;0.69;93.5;0.86;65;1.368;52;;20;8;7.4752973329;0;7.4752973329;47.7544423036;8;8;1093.196;469.52;21.267154416;0;24.9116046829;6.1610924435;99.6346262107;0;1012.556;57.2623625305;35.9274472596;-14.8892;4;8;442;-4.8;0;0;8;8;77.0498594751;62.1193735748;266.476255881;38.3562974726;30;4;6;1360.15238907;442.743078758;11.8967284749;50.6666128011;99.6346262107;71.2;143.98464093;45.3994572362;44.2095741099;19.5996389234;11.8967284749;207.944987593;13.0895128118;72.6660469866;101.961464158;2.17316894774e+15;0;9.7998194617;0;8;0;18.0603006855;18.0603006855;76;30;227.666666667;30;25.5212160584;191.739083234;77.0498594751;0;0;21.267154416;129.034084596;0;25.5212160584;4;43.3551402395;250.138;0;C46H80N10O20-8;43.3551402395;55
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);CCC(=O)[O-];1.5;219.48;12;0.69;93.5;0.86;65;1.365;52;;20;16;18.5233579797;0;18.5233579797;95.5088846072;16;16;2590.948;1074.56;63.8014632481;0;74.7348140488;8.58217356;219.695362001;0;2389.348;134.716748737;85.3797716624;-32.9684;12;16;1050;-10;0;0;16;24;179.783005442;145.505901566;653.537609545;76.7125949451;70;12;14;3599.58137105;1050.57685775;29.1680318796;132.40019948;219.695362001;170;353.416845919;109.345655675;108.16;0;29.1680318796;430.466705394;0;272.976844623;254.517819491;1.42676168586e+53;0;29.3994583851;0;24;39.1992778468;43.8382711671;43.8382711671;180;70;519.666666667;70;61.6745015344;448.925730527;179.783005442;0;0;63.8014632481;288.294098233;0;61.6745015344;12;103.602458065;607.662;0;C110H200N26O44-16;103.602458065;135
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);CCC(=O)[O-];2.5;219.48;12;0.69;93.5;0.86;65;1.366;52;;10;32;40.6194792734;0;40.6194792734;191.017769214;32;32;5586.452;2284.64;148.870080912;0;174.381232781;12.4679914884;459.816833581;0;5142.932;289.625521151;184.284420468;-69.1268;28;32;2266;-20.4;0;0;32;56;385.249297376;312.278957547;1427.66031687;153.42518989;150;28;30;8464.7617667;2266.24441572;63.710638689;295.867372838;459.816833581;367.6;772.281255898;237.252291889;236.068153988;68.5987362319;63.710638689;952.06426134;0;570.865293929;559.630530156;2.33982218542e+139;0;0;0;56;78.3985556936;95.3942121302;95.3942121302;388;150;1103.66666667;150;133.981072487;963.299025112;385.249297376;0;0;148.870080912;606.814125506;0;133.981072487;28;224.097093717;1322.71;0;C238H440N58O92-32;224.097093717;295
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);CCC(=O)[O-];3.5;219.48;12;0.69;93.5;0.81;65;1.346;52;;10;64;84.8117218608;0;84.8117218608;382.035538429;64;64;11577.46;4704.8;319.00731624;0;373.674070244;18.9071240543;940.059776741;0;10650.1;599.443065979;382.093718079;-141.4436;60;64;4698;-41.2;0;0;64;120;796.181881243;645.82506951;2975.90573153;306.850379781;310;60;62;18879.9273884;4697.57953167;132.795852308;622.801719553;940.059776741;762.8;1610.01007585;493.070632294;491.887150474;146.997291926;132.795852308;1721.86682158;0;1440.03474419;1169.85595149;nan;0;0;0;120;156.797111387;198.506094056;198.506094056;804;310;2271.66666667;310;278.594214391;1992.04561428;796.181881243;0;0;319.00731624;1243.85418005;0;278.594214391;60;465.086365021;2752.806;0;C494H920N122O188-64;465.086365021;615
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);CCC(=O)[O-];4.5;219.48;12;0.69;93.5;0.791;65;1.337;52;;5;128;173.196207036;0;173.196207036;764.071076858;128;128;23559.476;9545.12;659.281786897;0;772.259745171;29.8083894607;1839.26733432;61.2783287381;21664.436;1219.07815564;777.712313302;-286.0772;124;128;9562;-82.8;0;0;128;248;1618.04704898;1312.91729344;6072.39656084;613.700759561;630;124;126;41000.5806541;9560.24976357;270.966279546;1276.67041298;1900.54566306;1553.2;3285.46771577;1004.70948934;1003.52631377;156.797111387;270.966279546;1466.02543492;0;4973.82015185;2390.30679415;nan;0;0;0;248;460.5915147;404.729857909;404.729857909;1636;630;4607.66666667;630;567.820498199;4049.53879263;1618.04704898;0;0;659.281786897;2517.93428915;0;567.820498199;124;947.064907628;5612.998;0;C1006H1880N250O380-128;947.064907628;1255
N(*)(*)CCN(*)(*);CCC(O)NCCN(*)(*);CCC(=O)[O-];5.5;219.48;12;0.69;93.5;0.8;65;1.337;52;;5;256;349.965177385;0;349.965177385;1528.14215372;256;256;47523.508;19225.76;1339.83072821;0;1569.43109503;48.5902753774;3515.12579201;306.39164369;43693.108;2458.34833495;1568.94950375;-575.3444;252;256;19290;-166;0;0;256;504;3261.77738445;2647.10174129;12265.3782195;1227.40151912;1270;252;254;87328.2861829;19285.5902274;547.307134021;2584.40779985;3821.5174357;3134;6636.3829956;2027.9882155;2026.80518802;0;547.307134021;0;0;12995.7336288;4831.20847947;nan;0;0;68.5987362319;504;1175.9783354;817.177385614;817.177385614;3300;1270;9279.66666667;1270;1146.27306582;8164.52514931;3261.77738445;0;0;1339.83072821;5066.09450734;0;1146.27306582;252;1911.02199284;11333.382;0;C2030H3800N506O764-256;1911.02199284;2535
N(*)(*)CCN(*)(*);NCC(O)(*)(*);;3;219.48;12;0.69;93.5;0.86;65;1.364;52;;20;0;21.7028839681;0;21.7028839681;0;0;0;3604.18;1942.08;319.443327413;163.769770555;0;14.5405838219;306.39164369;0;3293.716;184.049144841;115.275391551;-65.5292;60;0;1466;-4.88;0;0;0;120;0;319.443327413;1097.59236491;0;122;60;2;4476.53046323;1410.94321444;34.8661898536;329.679158047;306.39164369;239.12;617.195120031;106.623356266;128.23440651;0;34.8661898536;0;10.2358306341;780.964890586;163.769770555;2.43439097405e+85;0;0;0;120;0;56.0280653881;56.0280653881;244;122;690;122;79.5198599448;222.521717801;0;10.2358306341;21.7031655884;297.740161824;306.39164369;0;79.5198599448;32;138.195280353;858.914;394.67340223;C122H308N62O60;138.195280353;183
N(*)(*)CCN(*)(*);NCC(O)(*)(*);;4;219.48;12;0.69;93.5;0.947;65;1.359;52;;10;0;44.8814826721;0;44.8814826721;0;0;0;7384.532;4006.72;659.717798069;350.935222617;0;22.8823170502;490.226629905;142.982767056;6751.508;377.186229831;235.843934046;-135.366;124;0;3002;-10;0;0;0;248;0;659.717798069;2241.86020309;0;250;124;2;10094.7601315;2887.67794497;72.1755006257;669.953628703;633.20939696;490;1247.47975287;216.592288734;259.41727779;0;72.1755006257;10.2358306341;0;1598.41497549;350.935222617;8.67071332937e+197;0;0;0;248;0;115.682815948;115.682815948;500;250;1418;250;162.735691482;431.95392279;0;10.2358306341;21.7031655884;638.014632481;633.20939696;0;162.735691482;64;282.699201458;1756.226;815.525830084;C250H628N126O124;282.699201458;375
N(*)(*)CCN(*)(*);NCC(O)(*)(*);;5;219.48;12;0.69;93.5;0.786;65;1.3374;52;;5;0;91.2386800801;0;91.2386800801;0;0;0;14945.236;8136;1340.26673938;725.266126743;0;37.0993731791;980.453259809;306.39164369;13667.092;763.460399811;476.981019035;-275.0396;252;0;6074;-20.24;0;0;0;504;0;1340.26673938;4530.39587944;0;506;252;2;22085.0452317;5841.14740604;146.79412217;1350.50257002;1286.8449035;991.76;2508.04901856;436.578448043;521.858023205;0;146.79412217;0;0;3243.55097594;725.266126743;nan;0;0;0;504;0;234.992317067;234.992317067;1012;506;2874;506;329.167354557;850.818332769;0;10.2358306341;21.7031655884;1318.56357379;1286.8449035;0;329.167354557;128;571.70704367;3550.85;1657.23068579;C506H1268N254O252;571.70704367;759
